fruit,class_pair,enabled,reason,feature_group,laws_enriched,selected_texture_count,selected_laws_count,selected_texture_features,base_confidence_threshold,texture_confidence_threshold,texture_alpha,cv_helpful,cv_harmful,cv_net_gain,cv_changed,correction_precision,positive_folds,v8_cv_net_gain,v8_cv_harmful,total_effective_feature_count
Apple,Overripe|Ripe,True,laws_strictly_improved_v8_rule,local_heterogeneity_plus_laws,True,32,9,laws_bank_std_energy;laws_e5e5_energy;laws_r5r5_energy;laws_l5s5_energy;lg_local_lbp_p16r2_entropy_p90;lg_local_lbp_p16r2_entropy_max;laws_bank_mean_energy;lg_local_roi_patch_coverage_p90;laws_e5w5_energy;lg_local_lbp_p16r2_bin_variance_p90;lg_local_lbp_p16r2_bin_variance_std;lg_local_lbp_p8r1_dominant_p90;lg_local_lbp_p16r2_bin_variance_mean;lg_local_glcm_variance_patch_dir_std_mean;laws_l5r5_energy;lg_local_glcm_energy_patch_dir_std_mean;lg_local_glcm_contrast_patch_dir_std_max;laws_w5w5_energy;lg_local_lbp_p16r2_entropy_mean;lg_local_roi_patch_coverage_std;lg_local_glcm_energy_patch_dir_std_p90;lg_local_glcm_homogeneity_patch_mean_mean;lg_local_glcm_variance_patch_dir_std_std;lg_local_lbp_p8r1_entropy_max;lg_local_lbp_p8r1_entropy_mean;lg_local_glcm_homogeneity_patch_dir_std_std;lg_local_glcm_homogeneity_patch_mean_p90;laws_l5w5_energy;lg_local_glcm_entropy_patch_dir_std_p90;lg_local_roi_patch_coverage_max;lg_local_glcm_entropy_patch_mean_mean;lg_local_glcm_energy_patch_dir_std_max,0.16,0.24,0.5,9.0,2.0,7.0,15.0,0.8181818181818182,3.0,6.0,3.0,123
Apple,Overripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Apple,Overripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Apple,Ripe|Rotten,True,laws_strictly_improved_v8_rule,global_multiscale_plus_laws,True,8,4,laws_r5r5_energy;laws_bank_std_energy;enh_glcm_d3_dissimilarity_mean;enh_lbp_p8r1_bin_0;laws_e5s5_energy;enh_lbp_p8r1_entropy;laws_l5r5_energy;enh_glcm_d3_contrast_mean,0.45,0.24,0.9,6.0,1.0,5.0,9.0,0.8571428571428571,3.0,3.0,1.0,99
Apple,Ripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Apple,Rotten|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Banana,Overripe|Ripe,True,laws_enabled_new_validated_pair,global_multiscale_plus_laws,True,4,3,laws_e5w5_energy;laws_e5r5_energy;enh_lbp_p8r1_bin_0;laws_l5s5_energy,0.16,0.24,0.5,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,95
Banana,Overripe|Rotten,True,laws_enabled_new_validated_pair,all_texture_plus_laws,True,32,9,laws_w5r5_energy;laws_w5w5_energy;laws_e5r5_energy;laws_l5r5_energy;laws_l5w5_energy;laws_bank_std_energy;laws_e5e5_energy;lg_gabor_l4_0_a45_energy;enh_lbp_p8r1_bin_0;enh_lbp_p8r1_bin_1;enh_lbp_p8r1_bin_2;lg_gabor_l4_0_a45_std;lg_gabor_l4_0_a135_energy;laws_e5w5_energy;lg_local_roi_patch_coverage_std;lg_gabor_l8_0_a90_mean_abs;enh_lbp_p16r2_bin_10;lg_gabor_l8_0_a135_mean_abs;lg_gabor_l8_0_a45_mean_abs;laws_bank_mean_energy;enh_lbp_p16r2_bin_8;lg_gabor_orientation_energy_mean;enh_lbp_p16r2_bin_variance;enh_lbp_p8r1_bin_5;lg_gabor_l8_0_a90_energy;lg_gabor_l4_0_a45_p90_abs;lg_gabor_l4_0_a0_mean_abs;lg_local_lbp_p8r1_bin_variance_mean;lg_local_lbp_p16r2_bin_variance_std;lg_gabor_l4_0_a90_energy;lg_gabor_l8_0_a135_energy;lg_local_roi_patch_coverage_mean,0.34,0.24,0.5,31.0,4.0,27.0,35.0,0.8857142857142857,3.0,9.0,9.0,123
Banana,Overripe|Unripe,True,preserved_v8_rule,local_heterogeneity,False,20,0,lg_local_roi_patch_coverage_p90;lg_local_lbp_p8r1_dominant_std;lg_local_roi_patch_coverage_mean;lg_local_valid_patch_count;lg_local_lbp_p8r1_entropy_p90;lg_local_roi_patch_coverage_max;lg_local_lbp_p8r1_bin_variance_p90;lg_local_glcm_entropy_patch_mean_std;lg_local_glcm_homogeneity_patch_mean_max;lg_local_lbp_p16r2_dominant_max;lg_local_glcm_variance_patch_dir_std_mean;lg_local_glcm_variance_patch_mean_max;lg_local_lbp_p16r2_dominant_p90;lg_local_lbp_p8r1_bin_variance_mean;lg_local_glcm_entropy_patch_dir_std_std;lg_local_glcm_energy_patch_dir_std_mean;lg_local_glcm_energy_patch_mean_p90;lg_local_glcm_homogeneity_patch_mean_mean;lg_local_glcm_energy_patch_dir_std_max;lg_local_glcm_energy_patch_dir_std_p90,0.16,0.24,0.5,5.0,2.0,3.0,7.0,0.7142857142857143,2.0,3.0,2.0,111
Banana,Ripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Banana,Ripe|Unripe,True,preserved_v8_rule,local_heterogeneity,False,8,0,lg_local_valid_patch_count;lg_local_lbp_p8r1_dominant_max;lg_local_roi_patch_coverage_p90;lg_local_roi_patch_coverage_mean;lg_local_glcm_homogeneity_patch_mean_std;lg_local_glcm_homogeneity_patch_mean_max;lg_local_roi_patch_coverage_max;lg_local_glcm_variance_patch_mean_std,0.16,0.24,0.5,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,99
Banana,Rotten|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Grape,Overripe|Ripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Grape,Overripe|Rotten,True,laws_strictly_improved_v8_rule,gabor_plus_laws,True,18,6,lg_gabor_l8_0_a90_std;lg_gabor_l8_0_a90_mean_abs;lg_gabor_l4_0_a90_energy;lg_gabor_l8_0_a0_std;lg_gabor_l8_0_a135_std;lg_gabor_anisotropy;lg_gabor_l4_0_a90_mean_abs;lg_gabor_l8_0_a45_p90_abs;lg_gabor_l4_0_a45_std;lg_gabor_l4_0_a135_energy;lg_gabor_l8_0_a0_mean_abs;laws_l5e5_energy;lg_gabor_l4_0_a135_mean_abs;laws_e5e5_energy;laws_l5r5_energy;laws_w5r5_energy;laws_l5w5_energy;laws_l5s5_energy,0.1,0.24,0.5,3.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,109
Grape,Overripe|Unripe,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Grape,Ripe|Rotten,False,pairwise_texture_not_cross_validated_better,,False,0,0,,,,,,,,,,,,,91
Grape,Ripe|Unripe,True,preserved_v8_rule,local_heterogeneity,False,20,0,lg_local_lbp_p16r2_bin_variance_mean;lg_local_lbp_p8r1_dominant_mean;lg_local_lbp_p8r1_dominant_p90;lg_local_glcm_entropy_patch_dir_std_std;lg_local_glcm_homogeneity_patch_mean_mean;lg_local_glcm_entropy_patch_dir_std_max;lg_local_glcm_contrast_patch_mean_mean;lg_local_glcm_homogeneity_patch_mean_p90;lg_local_lbp_p8r1_entropy_p90;lg_local_lbp_p8r1_energy_max;lg_local_lbp_p16r2_bin_variance_max;lg_local_glcm_entropy_patch_dir_std_p90;lg_local_roi_patch_coverage_std;lg_local_lbp_p16r2_dominant_std;lg_local_roi_patch_coverage_mean;lg_local_glcm_energy_patch_dir_std_p90;lg_local_lbp_p16r2_energy_p90;lg_local_glcm_homogeneity_patch_dir_std_std;lg_local_glcm_contrast_patch_mean_max;lg_local_lbp_p16r2_entropy_std,0.05,0.24,1.0,7.0,3.0,4.0,11.0,0.7,2.0,4.0,3.0,111
